"cores","time","rep"
1,62.684,1
2,45.153,1
3,27.482,1
4,24.169,1
5,23.738,1
6,22.882,1
7,25.682,1
8,19.935,1
9,20.016,1
10,19.949,1
11,20.061,1
12,20.622,1
13,20.02,1
14,19.884,1
15,19.9580000000001,1
16,19.835,1
17,19.9830000000001,1
18,19.927,1
19,19.772,1
1,62.442,2
2,42.871,2
3,28.8129999999999,2
4,32.53,2
5,22.4650000000001,2
6,20.2640000000001,2
7,24.779,2
8,19.8920000000001,2
9,19.9079999999999,2
10,20.7730000000001,2
11,21.1700000000001,2
12,19.98,2
13,19.0239999999999,2
14,19.827,2
15,18.393,2
16,19.9739999999999,2
17,20.0600000000002,2
18,19.943,2
19,19.9560000000001,2
1,62.5420000000001,3
2,44.8710000000001,3
3,30.5840000000001,3
4,22.5690000000002,3
5,26.6089999999999,3
6,20.5540000000001,3
7,19.903,3
8,19.8520000000001,3
9,21.3679999999999,3
10,19.6800000000001,3
11,19.883,3
12,19.6959999999999,3
13,20.902,3
14,19.6949999999999,3
15,19.7149999999999,3
16,22.287,3
17,21.558,3
18,21.5070000000001,3
19,20.028,3
